item_id,variant,method,gold_count,correct_docs,misinfo_docs,noise_docs,misinfo_dominant,exact_set,set_precision,set_recall,set_f1,confidence,correct,prediction,gold
0,original,majority_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,relevance_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dst_global_top1,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dst_global_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dst_factorized,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dst_factorized_provenance,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dsmt_pcr6_factorized,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,original,dsmt_pcr6_provenance,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,majority_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,relevance_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_global_top1,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_global_topk,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_factorized,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_factorized_provenance,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dsmt_pcr6_factorized,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dsmt_pcr6_provenance,1,2,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,majority_topk,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,relevance_topk,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dst_global_top1,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dst_global_topk,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dst_factorized,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dst_factorized_provenance,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dsmt_pcr6_factorized,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
0,misinfo_dominant,dsmt_pcr6_provenance,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3 559 people,3 559 people
1,original,majority_topk,1,3,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,american football,american football
1,original,relevance_topk,1,3,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,american football,american football
1,original,dst_global_top1,1,3,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,american football,american football
