item_id,condition,rule,decision,truth,prediction,correct,brier
0,independent_clean,dempster,betp,a3,a3,1,7.118932149013485e-05
0,independent_clean,dempster,dsmp_epsilon_0.001,a3,a3,1,4.755333485804275e-10
0,independent_clean,dempster,max_belief,a3,a3,1,nan
0,independent_clean,dempster,max_plausibility,a3,a3,1,nan
0,independent_clean,dempster,min_belief_interval_distance,a3,a3,1,nan
0,independent_clean,pcr6,betp,a3,a3,1,7.118932149013485e-05
0,independent_clean,pcr6,dsmp_epsilon_0.001,a3,a3,1,4.755333485804275e-10
0,independent_clean,pcr6,max_belief,a3,a3,1,nan
0,independent_clean,pcr6,max_plausibility,a3,a3,1,nan
0,independent_clean,pcr6,min_belief_interval_distance,a3,a3,1,nan
0,independent_clean,pcr6_plus,betp,a3,a3,1,7.118932149013485e-05
0,independent_clean,pcr6_plus,dsmp_epsilon_0.001,a3,a3,1,4.755333485804275e-10
0,independent_clean,pcr6_plus,max_belief,a3,a3,1,nan
0,independent_clean,pcr6_plus,max_plausibility,a3,a3,1,nan
0,independent_clean,pcr6_plus,min_belief_interval_distance,a3,a3,1,nan
0,partial_ignorance_conflict,dempster,betp,a3,a3,1,0.08295630177698306
0,partial_ignorance_conflict,dempster,dsmp_epsilon_0.001,a3,a3,1,0.07690935055664307
0,partial_ignorance_conflict,dempster,max_belief,a3,a3,1,nan
0,partial_ignorance_conflict,dempster,max_plausibility,a3,a3,1,nan
0,partial_ignorance_conflict,dempster,min_belief_interval_distance,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6,betp,a3,a3,1,0.2652816836743378
0,partial_ignorance_conflict,pcr6,dsmp_epsilon_0.001,a3,a3,1,0.17413033399299863
0,partial_ignorance_conflict,pcr6,max_belief,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6,max_plausibility,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6,min_belief_interval_distance,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6_plus,betp,a3,a3,1,0.21640109020234025
0,partial_ignorance_conflict,pcr6_plus,dsmp_epsilon_0.001,a3,a3,1,0.19495214867923452
0,partial_ignorance_conflict,pcr6_plus,max_belief,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6_plus,max_plausibility,a3,a3,1,nan
0,partial_ignorance_conflict,pcr6_plus,min_belief_interval_distance,a3,a3,1,nan
0,vacuous_source_injection,dempster,betp,a3,a3,1,0.08295630177698306
0,vacuous_source_injection,dempster,dsmp_epsilon_0.001,a3,a3,1,0.07690935055664307
0,vacuous_source_injection,dempster,max_belief,a3,a3,1,nan
0,vacuous_source_injection,dempster,max_plausibility,a3,a3,1,nan
0,vacuous_source_injection,dempster,min_belief_interval_distance,a3,a3,1,nan
0,vacuous_source_injection,pcr6,betp,a3,a3,1,0.3649559449589037
0,vacuous_source_injection,pcr6,dsmp_epsilon_0.001,a3,a3,1,0.14268049842615022
0,vacuous_source_injection,pcr6,max_belief,a3,a3,1,nan
0,vacuous_source_injection,pcr6,max_plausibility,a3,a3,1,nan
0,vacuous_source_injection,pcr6,min_belief_interval_distance,a3,a3,1,nan
0,vacuous_source_injection,pcr6_plus,betp,a3,a3,1,0.21640109020234025
0,vacuous_source_injection,pcr6_plus,dsmp_epsilon_0.001,a3,a3,1,0.19495214867923452
0,vacuous_source_injection,pcr6_plus,max_belief,a3,a3,1,nan
0,vacuous_source_injection,pcr6_plus,max_plausibility,a3,a3,1,nan
